id;codMaquina;ordemProducao;dataHora;distancia;folhas;data
364;maq002;OP00224;2025-06-13 23:13:40;208.0;4;2025-06-13
365;maq002;OP00224;2025-06-13 23:13:41;278.0;4;2025-06-13
366;maq002;OP00224;2025-06-13 23:13:41;362.9;4;2025-06-13
367;maq002;OP00224;2025-06-13 23:13:42;400.0;4;2025-06-13
368;maq002;OP00224;2025-06-13 23:13:42;313.0;4;2025-06-13
369;maq002;OP00224;2025-06-13 23:13:43;229.0;4;2025-06-13
370;maq002;OP00224;2025-06-13 23:13:43;150.9;4;2025-06-13
371;maq002;OP00224;2025-06-13 23:13:44;119.9;4;2025-06-13
372;maq002;OP00224;2025-06-13 23:13:44;49.0;4;2025-06-13
373;maq002;OP00224;2025-06-13 23:13:45;2.0;5;2025-06-13
374;maq002;OP00224;2025-06-13 23:13:45;21.0;5;2025-06-13
375;maq002;OP00224;2025-06-13 23:13:46;95.0;5;2025-06-13
